title,description,website,main_cat_1,main_cat_2,tag_1,tag_2,tag_3,tags
Boost VC,The Pre-Seed Fund Making Sci-Fi a Reality,https://www.boost.vc/,RESOURCE BASES,,ACCELERATOR,STARTUPS,,
Botkit AI,"An open source developer tool for building chat bots, apps and custom integrations for major messaging platforms.",https://botkit.ai,BUSINESS TOOLS,,CHATBOT,,,"[""BLOCKCHAIN"",""JAVASCRIPT"",""BITCOIN"",""WALLET"",""OPEN SOURCE""]"
Botsify,Create Website Chatbot in 5 minutes,https://botsify.com,BUSINESS TOOLS,,CHATBOT,,,
Bottr,Ultimate AI-powered Twitter assistant,https://bottr.me,BUSINESS TOOLS,,SOCIAL MEDIA,CHATBOT,,
Brand AI,Easily Manage your Design System,https://brand.ai,,,,,,"[""BLOCKCHAIN"",""NONPROFIT""]"
Brand Palettes,Search for a Brand,https://brandpalettes.com/,CREATIVE,,BRANDING,,,
Brandwatch,"Brandwatch products inform thousands of marketing, brand and business decisions every day for the most admired organizations worldwide",https://www.brandwatch.com/,MARKETING,,ANALYTICS,,,
Breakout List 2019,List of high potential and high growth startups,https://breakoutlist.com/,PERSONAL & PROFESSIONAL DEV,RESOURCE BASES,CAREER,JOB,,"[""BLOCKCHAIN""]"
Brew,The missing package manager for macOS (or Linux),https://brew.sh/,DEVELOPER TOOLS,,,,,"[""BLOCKCHAIN"",""API""]"
Bridge For Billions,The digital ecosystem that connects entrepreneurs to growth opportunities,https://bridgeforbillions.org/,PERSONAL & PROFESSIONAL DEV,,,,,"[""BLOCKCHAIN"",""CRYPTOGRAPHY"",""DEMO""]"
Bridge For Billions,The digital ecosystem that connects entrepreneurs to growth opportunities,https://www.bridgeforbillions.org,RESOURCE BASES,,INCUBATOR,STARTUPS,,"[""BLOCKCHAIN""]"
Brilliant,Math and Science done Right,https://brilliant.org/,PERSONAL & PROFESSIONAL DEV,,MOOCS,PROGRAMMING,,"[""BLOCKCHAIN""]"
British Council,"We create friendly knowledge and understanding between the people of the UK and other countries. We do this by making a positive contribution to the UK and the countries we work with – changing lives by creating opportunities, building connections and engendering trust.",https://www.britishcouncil.org,PERSONAL & PROFESSIONAL DEV,,,,,"[""BLOCKCHAIN""]"
Brookings Institute,,https://www.brookings.edu,NONPROFITS,,,,,
Bruegel,,http://bruegel.org,NONPROFITS,,,,,
Buffer,A better way to manage your Social Media,https://buffer.com,BUSINESS TOOLS,MARKETING,SOCIAL MEDIA,,,
Built With,Find out what websites are Built With,https://builtwith.com/,DEVELOPER TOOLS,,,,,"[""DATA VISUALIZATION"",""VISUALIZATION"",""DASHBOARDS"",""PYTHON""]"
Business for 2030,Forging a Path for Business in the UN 2030 Development Agenda,http://www.businessfor2030.org,,,GLOBAL GOALS,,,
Business Name Generator,,https://businessnamegenerator.com,BUSINESS TOOLS,,,,,
BuzzSumo,Analyze what content performs best for any topic or competitor,https://buzzsumo.com/,BUSINESS TOOLS,,ANALYTICS,,,
CAF Online,,https://www.cafonline.org,,,,,,
Calibra,A connected wallet for a connected world.,https://calibra.com/,ACCOUNTING & FINANCE,,BLOCKCHAIN,,,
Calouste Gulbenkian Foundation,,https://gulbenkian.pt/en/grants-gulbenkian/,,,FUNDING,,,
Campaign URL Builder – Google Analytics,This tool allows you to easily add campaign parameters to URLs so you can track Custom Campaigns in Google Analytics,https://ga-dev-tools.appspot.com/campaign-url-builder/,MARKETING,,ANALYTICS,,,
Canadian Parliamentary Historical Resources – Canada,"A free searchable database of digitised versions of the debates , journals, and committee documentation of the Senate and the House of Commons.",http://parl.canadiana.ca,,,,,,
Canberra Times,,https://www.canberratimes.com.au,,,NEWS,,,
Canva,Easily create beautiful designs + documents,https://about.canva.com,CREATIVE,,,,,"[""GIT"",""HOMEBREW"",""INSTALLER"",""macOS"",""LINUX"",""PACKAGES""]"
Canva for Nonprofits,Empower your team to create high-impact social media graphics and marketing materials.,https://about.canva.com/canva-for-nonprofits/,,,,,,
Canvanizer,Brainstorm better concepts. Together with your team,https://canvanizer.com/,CREATIVE,ENTREPRENEURIAL RESOURCES,,,,
CanvasJS,Responsive HTML5 Charting Library with a Simple API and 10x Performance – makes your dashboards fly!,https://canvasjs.com/,DATA VISUALIZATION,DEVELOPER TOOLS,DATA VISUALIZATION,,,"[""MOOCs"",""ONLINE LEARNING"",""EDUCATION""]"
Capital Kitchens,"Austin's Largest Shared-Use Commercial Kitchen, Culinary Incubator, Chef Center and Mobile Food Commissary",http://www.capital-kitchens.com/,RESOURCE BASES,,INCUBATOR,STARTUPS,,
Cardano,Cardano is a decentralised public blockchain and cryptocurrency project and is fully open source.,https://www.cardano.org/en/home/,ACCOUNTING & FINANCE,DEVELOPER TOOLS,BLOCKCHAIN,,,
Carnegie Council,,https://www.carnegiecouncil.org,NONPROFITS,,,,,
Carter Center,,https://www.cartercenter.org,NONPROFITS,,,,,
Caspio,Online Database Apps without Coding,https://www.caspio.com/,BUSINESS TOOLS,,,,,"[""WEBSITES"",""WEB TECHNOLOGIES"",""ANALYTICS"",""INTERNET""]"
Cassandra Apache,The Apache Cassandra database is the right choice when you need scalability and high availability without compromising performance.,http://cassandra.apache.org/,DEVELOPER TOOLS,,,,,
Catalyte,We use AI and data science to build technology workforces for the world’s most progressive companies.,https://catalyte.io/,RESOURCE BASES,,,,,
Catchafire – United States (US),,https://www.catchafire.org,,,,,,
Causes,,https://www.causes.com,,,,,,
CB Insights,"The CB Insights tech market intelligence platform analyzes millions of data points on venture capital, startups, patents, partnerships and news mentions to help you see tomorrow's opportunities, today.",https://www.cbinsights.com/,RESOURCE BASES,,COMPANY,RESEARCH,,
CC0 Photo,Public domain photos,https://cc0.photo/,CREATIVE,,PHOTO STOCKS,,,
Center for Strategic and International Studies (CSIS),,https://www.csis.org,NONPROFITS,,,,,
Centre for Conflict Resolution (CCR),,http://www.ccr.org.za,NONPROFITS,,,,,
Centre for European Policy Studies (CEPS),Thinking ahead for Europe,https://www.ceps.eu,NONPROFITS,,,,,
Centro de Estudios Públicos (CEP),,https://cepchile.cl,NONPROFITS,,,,,
Centro de Investigaciones Sociológicas (CIS),,http://www.cis.es/cis/opencms/EN/index.html,NONPROFITS,,,,,
Ceros,Create stunning interactive content,https://www.ceros.com,MARKETING,BUSINESS TOOLS,,,,
CesiumJS,An open-source JavaScript library for world-class 3D globes and maps,https://cesiumjs.org/,DATA VISUALIZATION,DEVELOPER TOOLS,DATA VISUALIZATION,,,"[""HTML5"",""WEBSITES"",""DATA VISUALIZATION"",""CHARTS"",""DASHBOARDS"",""JAVASCRIPT"",""VISUALIZATION""]"
Chamber of Commerce Find a Photo,Browse through over 1 million high-quality stock photos across multiple free and paid stock photo sites - from one tab.,https://www.chamberofcommerce.org/findaphoto/,CREATIVE,,PHOTO STOCKS,,,
Change,The World’s Platform for Change,https://www.change.org,,,,,,"[""BLOCKCHAIN"",""CRYPTOCURRENCY""]"
Charity Navigator,Charity Navigator has become the nation's largest and most-utilized evaluator of charities.,https://www.charitynavigator.org/,,,,,,
Chart Studio Plotly,"Create, style and publish interactive web-ready charts",https://chart-studio.plot.ly/,BUSINESS TOOLS,DEVELOPER TOOLS,VISUAL EDITING TOOLS,,,
